What is your age range?,What is your gender?,"What is your approximate total household investable assets? (includes checking, savings, or money market accounts and investments – excludes your primary residence and employer-sponsored retirement accounts)",Which of the following best describes your level of comfort using technology?,What is your usual method for contacting a company? - Selected Choice,What is your usual method for contacting a company? - Other - Text,"How often do you call companies for customer service (ie support, issue, order)?",Why do you typically call customer service or a company phone number? - Selected Choice,Why do you typically call customer service or a company phone number? - Other - Text,"When you call a company, do you prefer to speak to a live agent or use an voice assistant?",How would you rate your overall experience with virtual assistants when calling a company or customer service line?,"In the past, when speaking with virtual assistant for a company, did the virtual assistant accurately understand and address your needs or concerns?",How easy or difficult do you find it to communicate with a virtual assistant when calling a company?,Can you please explain what parts of the experience make it difficult?,Can you please explain what parts of the experience make it easy?,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Clarity of instructions,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ease of navigation,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Speed of response,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Accuracy of information,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ability to reach a live agent,How comfortable are you with virtual assistants that capture your information?,Can you please explain what makes you feel that way?,At what point during the conversation with the voice assistant would you prefer to speak to a live agent?,How would you rate your comfort level with an automated system handling the following tasks? - Password reset,How would you rate your comfort level with an automated system handling the following tasks? - Real-time account balance,"How would you rate your comfort level with an automated system handling the following tasks? - Account information (Direct deposit setup, routing information)",How would you rate your comfort level with an automated system handling the following tasks? - Recently cleared checks,How would you rate your comfort level with an automated system handling the following tasks? - Physical Check reorder,How would you rate your comfort level with an automated system handling the following tasks? - Stop payment on a check,How would you rate your comfort level with an automated system handling the following tasks? - Withdrawal activity,How would you rate your comfort level with an automated system handling the following tasks? - Deposit activity,How would you rate your comfort level with an automated system handling the following tasks? - Credit card payment,"How would you rate your comfort level with an automated system handling the following tasks? - Rate & Yields (Dividend interest payments, fund yield etc)",How would you rate your comfort level with an automated system handling the following tasks? - Product features and benefits,How would you rate your comfort level with an automated system handling the following tasks? - Mortgage Inquiry,"Imagine that you need to reset your password.
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your password is reset).

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need to check your account balance. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie you are told your account balance). 

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need assistance navigating the company's home page. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your questions or concerns about the home page are answered). 

Ideally, how do you envision this interaction playing out with an voice assistant?"
65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,The victual’s inability to understand the English language ,,1,3,4,2,5,Extremely uncomfortable,It takes too long to make them understand complex questions ,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,Smooth transaction with minimal repeats,Faster and easier than speaking to a representative ,As well as with a human agent
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Somewhat difficult,Doesn't understand my questions;  gives answers not actually answering my questions.,,5,2,3,4,1,Somewhat uncomfortable,Don't trust the security of a virtual assistant,Immediately,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,I don't envision this,I wouldn't need a voice assistant to check this,I wouldn't use a voice assistant for this purpose
35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Somewhat easy,,I was replied in an very fine style,3,5,4,2,1,Somewhat comfortable,,Immediately,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,I believe it's very good to use,It's very good and interesting to use ,The idea is very good and nice 
35-44,Male,"$10,000,000.00",Extremely comfortable,Online Chat,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Yes,Somewhat easy,,Most of d part ,4,2,1,5,3,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Imteracting well,Checking,Voice
55-65,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Phone,,A few times a month,To ask a question about a product or service,,Always prefer a live agent,Good,Kind of,Somewhat easy,,understand what I am saying.,2,3,4,5,1,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,tell me it has been done,tell me when I am done.,give me right steps to use.
25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,Daily,To get help with a technical issue or difficulty,,Always prefer a live agent,Delightful,Yes,Extremely easy,,It is very amazing ,5,3,1,4,2,Extremely comfortable,,Immediately,Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Comfortable,Neutral,Comfortable,Neutral,Neutral,I really concentrate with the service ,I really like it ,It is very amazing 
65,Female,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,they frequently don't understand or don't really offer an option that suits my issue,,4,5,2,3,1,Neutral,,Only if the automated system cannot help me,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Not Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Neutral,"i would opt to re-set my password on line rather than with an automated system or a human agent,.  i would have concerns about the voice assistant understanding the password info.",i think this would be fine,not well - too many variables
65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,Questions asked are not the questions answered.,,3,2,4,5,1,Neutral,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Little problem,No problem,Little problem
55-65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Kind of,Somewhat difficult,Didnt understand what I was saying. ,,2,3,4,5,1,Somewhat comfortable,,Immediately,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,I WOULD ASK THE AGENT QYWAES STEW,I WOULD ASK A QUESTION ,I WOULD ASF DIRECTIONS.U
65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,They don’t respond to my needs ,,2,3,4,5,1,Extremely uncomfortable,I just want to go to a live person ,Immediately,Not Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,Not good ,Fine,Poor they don’t work well 
35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Delightful,Yes,Somewhat easy,,It's amazing and interesting ,2,1,4,5,3,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,It's amazing and interesting ,It's a very reasonable and incredible ,Great day today 
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,The virtual assistant did not understand my problem and I needed to speak with a supervisor.  My frustration level just rose when asked idiotic questions from the robocall.,,4,5,2,3,1,Somewhat uncomfortable,Why should I give confidential information to a robot?  And to whom do they turn around and sell this information?,Immediately,Not Comfortable,Neutral,Neutral,Neutral,Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,I do not envision this scenario in my lifetime.  No way.,Good and reliable.,Good
55-65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,In person visit,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,It won’t connect me Tia live person.,,5,4,2,3,1,Somewhat comfortable,,After trying the automated system once,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Taking longer,Quickly ,Depends on what my issue was before calling
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Other,Depends,A few times a year,Other,All the above,Always prefer a live agent,Poor,Kind of,Somewhat difficult,Usually end up with a live person anyway,,3,2,1,4,5,Neutral,,After trying the automated system once,Comfortable,Neutral,Not Comfortable,Comfortable,Neutral,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Not Comfortable,Neutral,It send me a link to reset the PW,Verbal response from either,I speak live ASAP
55-65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,It seems like they never have the answer to fulfill my need.,,5,3,2,4,1,Neutral,,After trying the automated system once,Comfortable,Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,It should be handled quickly and accurately.,It should be quick and efficient,I shouldn't have this problem
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,Resolving customers complaints ,2,5,4,3,1,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Always resetting passwords whenever i forget it,Account balance isnt an issue but also resolved when there’s a problem ,Assistance or agencies are very helpful 
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer an voice assistant,Delightful,Yes,Somewhat easy,,Is really a good experience to witness,2,1,4,5,3,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,I can program my voice to reset my password,Is quite reliable and trustworthy,Is quite amazing and reliable
35-44,Female,"$10,000,000.00",Extremely uncomfortable,Phone,,A few times a month,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,I like to ask questions to real people. It makes it easy ,4,2,3,5,1,Somewhat uncomfortable,It is hard for the voice assistant to understand me ,Immediately,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,They would replete the password two times,They would send me an email ,They can't see my homepage 
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,Lack of comprehension ,,4,2,3,5,1,Somewhat uncomfortable,Rather talk to a person ,Immediately,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not Comfortable,Just reset without any interaction ,Just give me the balance,Talk to an agent - it’s faster 
25-34,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To place an order or make a purchase,,Prefer a voice assistant but may speak to a live agent,Delightful,Yes,Extremely easy,,I love how the workers make it easy and make sure they get to the root,1,4,3,2,5,Extremely comfortable,,Only if the automated system cannot help me,Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Neutral,I would see a link sent to email and click the email link to change passowrd,I would call the bank speak to representatives and ask how much is in my account ,I would ask the help team
55-65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,The issue is usually complicated and requires research into why there is a problem and how it will be resolved ,,4,5,1,3,2,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Comfortable,Not Comfortable,Neutral,"Normally you just key in the new password and live person or automated, neither knows the new password ",Ask a question or key in a number for this  option and the info is provided back audibly ,"Ask a question, the AI asks you to confirm it, then provides a response and asks if you are satisfied "
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Average,No,Somewhat difficult,Quite often the virtual assistant does not understand my response.,,3,2,4,5,1,Somewhat comfortable,,After multiple attempts with the automated system,Neutral,Comfortable,Not Comfortable,Comfortable,Neutral,Not Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Task accomplished,Sometimes have to have the information repeated.,Often not able to redirect the question if the incorrect information is provided.
25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer an voice assistant,Delightful,Yes,Extremely easy,,Wonderful experience ,2,1,4,5,3,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Wonderful experience ,Wonderful experience ,Wonderful experience 
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Social media messaging,,Daily,To place an order or make a purchase,,Always prefer a live agent,Delightful,Kind of,Extremely easy,,Good morning I ,3,4,1,2,5,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Good morning I hope I am so ,Perfect thank you so much ,Gyms 
35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,IT part ,4,1,2,3,5,Extremely comfortable,,Immediately,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Nice and great so much ,Loved so much ,Great satisfaction 
35-44,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Email,,A few times a month,To ask a question about a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,There’s always an agent standby to attend to you and we easily understand each other ,2,5,3,4,1,Somewhat comfortable,,Immediately,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Not Comfortable,Neutral,Not Comfortable,Very well as I would always get my request attended to ,It would always play out well,It would go well as I will get what I want done 
25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Average,Yes,Neutral,,,5,4,1,2,3,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Neutral,Neutral,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Good great ,Amazon ,Chase bank 
35-44,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,A few times a month,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Kind of,Somewhat easy,,It's very much better following motions and seeking fighting rights and favors people large concept ,1,5,2,3,4,Somewhat comfortable,,After trying the automated system once,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Neutral,Neutral,We need to figure each moment years behind the fighting purpose demands from using ,We imagine using the probably using choosing humble nothing chasing ,Give more front ruling towards the factors events giving clicking 
35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Somewhat easy,,Understand my concerns ,1,5,2,4,3,Somewhat comfortable,,After multiple attempts with the automated system,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,I like the way it works ,I love the way the assistant works ,I like it but 
55-65,Male,"$5,000,000 - $10,000,000",Somewhat comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Average,Kind of,Somewhat difficult,The virtual assistant doesn't always understand what I'm saying.,,2,4,5,3,1,Somewhat uncomfortable,I have no idea who has access to this information.,Immediately,Not Comfortable,Neutral,Not Comfortable,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Not Comfortable,Comfortable,Comfortable,Neutral,"I envision the voice assistant would not understand the password I'm speaking, whereas, while speaking to a human, I could actually spell out the word if the human didn't understand my speech.",I envision this interaction to play out just fine either way.,I don't envision any problems with this scenario either way.
35-44,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a month,To get help with a technical issue or difficulty,,Prefer a voice assistant but may speak to a live agent,Good,Yes,Somewhat easy,,When they give me a response ,5,4,1,2,3,Extremely comfortable,,Only if the automated system cannot help me,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,Comfortable,It'll be to ask about the password and move on,I'm Aduragbemi Eliot and i tend to ask ideally the way it's supposed to be praised ,Yes it's more in a comment of the night 
25-34,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,The voice comand,1,4,3,2,5,Neutral,,Immediately,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,Not Comfortable,Neutral,Comfortable,Neutral,Neutral,Very well,I think it will go very smoothly ,I think tjat it might be confusing  
55-65,Female,"$1,000,000 - $5,000,000",Somewhat uncomfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,Kind of,Extremely difficult,"Takes a long time for the virtual assistant, to understand what I am saying, and get me into the right place. Usually it sends me places I do not want to be at.",,4,3,5,1,2,Somewhat comfortable,,After trying the automated system once,Not Comfortable,Neutral,Not Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,"You would have the virtual assistant reset your password, and then assure you that this information is not relayed anywhere else that people could look to see both your account and password. Maybe being assured that it is immediately deleted, so that if your account was hacked, you would not lose everything. ",They would go into your account and tell you your account balance,I am assuming that the virtual assistant would give you an online tutorial that you would have to click through to learn about the homepage.
65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Extremely difficult,They never answer my questions to my satisfaction.,,4,5,3,1,2,Neutral,,Immediately,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,"I would expect it to ask me for my old password, information to verify my identity and what I want my new password to be.",First ask me for information to verify my identity and then give me my balance.,First verify my identity and then help me
65,Male,"$5,000,000 - $10,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Extremely difficult,Never understand the problem,,4,5,3,2,1,Extremely uncomfortable,Invasion of my privacy,Immediately,Neutral,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Comfortable,Neutral,I dont,I dont,Ok
35-44,Female,"$5,000,000 - $10,000,000",Extremely comfortable,Online Chat,,A few times a month,To get help with a technical issue or difficulty,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Somewhat easy,,My experience I had was a good experience and I liked the experience very well,1,3,4,2,5,Extremely comfortable,,After trying the automated system once,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,It is very helpful and very nice and I like it alot,This play out to be great and exciting ,This is a very good. Rand that I like alot
25-34,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To get help with a technical issue or difficulty,,Always prefer a live agent,Good,Yes,Somewhat easy,,Good communication ,4,3,5,1,2,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Great interaction ,Great and amazing ,Good 
35-44,Male,"$10,000,000.00",Extremely comfortable,Phone,,Daily,To resolve an issue with a product or service,,Always prefer an voice assistant,Delightful,Yes,Extremely easy,,The quick response from you are aware of this but I am interested in the hjdudg,4,5,1,2,3,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,The quick response from you are aware of this but I am interested in the job posting job on Craigslist for the job posting on Craigslist and would like to know more about the position you have available for me to come in and talk with you about the position you have available for me to come in and talk with you about the position you have available for fgbmh,I am not sure what to do with my life and I am not sure what to do with my life and I am not sure what to do with my life and I am not sure what to do with my life and I am not sure what to do with my life and I am not sure what to do with my life and I am not sure what to do with my life and I am cjjgbn,The quick response from you are aware of this but I am interested in the job posting on Craigslist and would like to know more about the position you have available for me to come in and talk with you about the position you have available for me to come in and talk with you about the position you have available for me to come in and talk cjjfnk
25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,It is very amazing,4,2,1,3,5,Extremely comfortable,,Immediately,Not Comfortable,Not Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,It is very amazing ,I really like it ,It is very amazing 
25-34,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Somewhat easy,,Having a compete t voic we assistant that u detstands my question and lets me ask for a customer service representative if need be.,2,5,4,3,1,Somewhat uncomfortable,The ability to speak with a live agent is important because the ai doesnt always understand my needs.,Only if the automated system cannot help me,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,The same way it would if i were speaking to a human.,The same as if i were speakig with a real person.,"I dont think a voice assistant could help with this because they cant ""see"" the home page in question."
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Good,Kind of,Neutral,,,1,4,2,3,5,Neutral,,After trying the automated system once,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Voice assistant is helpful to a certain stage but not every ,Is still okay to some aspect ,Gives right information here 
35-44,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,Daily,To resolve an issue with a product or service,,Prefer a voice assistant but may speak to a live agent,Good,Yes,Somewhat difficult,To a certain point to be constant ,,4,2,5,3,1,Extremely uncomfortable,Experience ,After trying the automated system once,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Too strict ,Details not shown ,Not too clear 
25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To place an order or make a purchase,,Always prefer an voice assistant,Delightful,Yes,Extremely easy,,Based on the good and easy platform they give us,4,2,1,3,5,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,I make the call ,I check the website ,I check the mail 
55-65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Average,Yes,Somewhat easy,,The word recognition is improving greatly so the assistant is actually helpful in solving issues. The menu items are also becoming fully covered. ,2,1,5,4,3,Neutral,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,In 2 steps being able to work the reset through the assistant. This should be easy.,I state balance and the assistant gives me all of my balances. ,Ask for what info I require from the page and I receive a step by step walk through the menu items. 
35-44,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,In person visit,,Daily,To make a complaint or give feedback about a product or service,,Prefer a live agent but may speak to an voice assistant,Poor,Kind of,Neutral,,,1,2,4,5,3,Somewhat comfortable,,Only if the automated system cannot help me,Neutral,Comfortable,Not Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Good ,Great ,Perfect 
65,Male,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To place an order or make a purchase,,Always prefer a live agent,Average,Kind of,Neutral,,,5,3,2,4,1,Somewhat uncomfortable,Never know how safe it is,Immediately,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Uncomfortable ,Nuetral,Comfortable 
55-65,Female,"$5,000,000 - $10,000,000",Extremely comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Poor,Kind of,Somewhat difficult,Voice assistant usually has limited option that do not cover the issue at hand,,3,4,5,1,2,Neutral,,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Neutral,Comfortable,Not Comfortable,Not Comfortable,This is a simple task that automated system should be able to do it  ,Do not have issues getting balances from the automated system,Auto assistant would take me to the desired pages with ease
55-65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Somewhat easy,,easy to understand my questions,5,4,2,1,3,Somewhat uncomfortable,security and privacy,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,I can reset my password online,find my account balance quickly,how to navigate the website with clear instructions
45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Somewhat difficult,issues with resolving very specific issues,,3,4,5,1,2,Somewhat comfortable,,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,System would send me a link via text or email to reset password.,Account balance would be spoken to me.,Step by step instructions spoken with prompts to advance onece step is completed.
45-54,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,When dealing with virtual assistants you are limited in the way you can communicate with them,,2,3,4,5,1,Somewhat comfortable,,Immediately,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,I call and the prccess is smooth without any snags ,I call and quick the the new checks are on the way,I call and I am quickly and rightly directed in the right direction 
